No.,Course ID,Course name,Class,Lecturer ID,Start Date,End Date,Day of Week,Start Time,End Time,Room
1,BAA00101,Marx-Lenin Philosophy,19CLC1,ngohuy83,17/02/2020,02/05/2020,Mon,07:30,11:30,C22
2,BAA00101,Marx-Lenin Philosophy,19CLC2,ngohuy83,17/02/2020,02/05/2020,Thu,13:30,17:30,HTI
3,CSC10002,Programming Techniques,19CLC1,nmhuy,17/02/2020,02/05/2020,Mon,13:30,17:30,I32
4,CSC10002,Programming Techniques,19CLC2,nmhuy,17/02/2020,02/05/2020,Fri,13:30,17:30,I35
5,MTH00003,Calculus B1,19CLC1,nttvan,17/02/2020,02/05/2020,Wed,13:30,17:30,I23
6,MTH00003,Calculus B1,19CLC2,nttrung,17/02/2020,02/05/2020,Sat,07:30,11:30,C22
